# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	156704
#@/user_id	droid-rMBP
a 	啊	c=61 d=1.05722 t=155644
bei dou 	北斗	c=2 d=1 t=10001
bei fen 	備份	c=42 d=1 t=156396
bei jing 	背景	c=2 d=1 t=76232
bei jing shi 	北京市	c=1 d=1 t=1034
bei jing tu 	背景圖	c=1 d=1 t=85983
bei lu 	北路	c=1 d=1 t=24176
bei yong 	備用	c=2 d=1 t=136876
bei zhu 	備註	c=24 d=1 t=154576
ben 	本	c=13 d=1 t=139141
ben bu 	本部	c=3 d=1 t=98623
ben di 	本地	c=93 d=2.06012 t=155772
ben di dai ma 	本地代碼	c=1 d=1 t=143559
ben ji 	本機	c=14 d=1 t=150659
ben ke 	本科	c=1 d=1 t=134428
ben lai 	本來	c=66 d=1.9713 t=154344
ben ren 	本人	c=1 d=1 t=34944
ben shen 	本身	c=4 d=1 t=112530
ben shi 	本市	c=1 d=1 t=94662
ben xi 	本溪	c=2 d=1.94176 t=114790
ben zhou 	本週	c=2 d=1 t=83563
beng 	崩	c=2 d=1 t=148235
beng kui 	崩潰	c=3 d=1 t=142196
bi 	幣	c=6 d=1 t=114333
bi 	必	c=16 d=1 t=147854
bi 	比	c=7 d=1 t=147023
bi 	筆	c=3 d=1 t=112288
bi bu guo 	比不過	c=0 d=0.1 t=122001
bi ji ben 	筆記本	c=2 d=1 t=139446
bi jiao 	比較	c=72 d=1.90779 t=154690
bi li 	比例	c=1 d=1 t=77917
bi mian 	避免	c=19 d=1 t=151389
bi ru 	比如	c=9 d=1 t=155715
bi she 	比舍	c=1 d=1 t=138668
bi te 	比特	c=0 d=0.1 t=75191
bi te bi 	比特幣	c=1 d=1 t=75192
bi tian 	必填	c=11 d=3.97017 t=137850
bi xu 	必須	c=14 d=1 t=156038
bi yao 	必要	c=4 d=1.00001 t=67396
bi zhi 	壁紙	c=5 d=1 t=151860
bian 	編	c=1 d=1 t=17369
bian 	變	c=43 d=1.00084 t=155471
bian 	遍	c=1 d=1 t=143150
bian 	邊	c=6 d=1 t=110922
bian bu bian 	變不變	c=1 d=1 t=102202
bian cheng 	變成	c=25 d=1.86578 t=156244
bian dong 	變動	c=2 d=1 t=102197
bian geng 	變更	c=8 d=1 t=128838
bian guo 	變過	c=2 d=1 t=143617
bian hao 	編號	c=11 d=1 t=155175
bian hua 	變化	c=13 d=1 t=137357
bian ji 	編輯	c=77 d=1.82283 t=151929
bian ji hou 	編輯後	c=1 d=1 t=43078
bian ji qi 	編輯器	c=1 d=1 t=143447
bian li 	遍歷	c=7 d=1.96561 t=96594
bian lian 	變臉	c=1 d=1 t=98870
bian liang 	變量	c=22 d=1 t=147998
bian ma 	編碼	c=30 d=1 t=149358
bian man 	變慢	c=1 d=1 t=90509
bian wei 	變爲	c=1 d=1 t=121145
bian xie 	編寫	c=1 d=1 t=18095
bian yi 	編譯	c=21 d=1 t=142232
biao 	標	c=6 d=1.956 t=151496
biao 	表	c=210 d=1.00384 t=152924
biao ce 	表冊	c=10 d=1.0773 t=100898
biao ce hao 	表冊號	c=2 d=1.99501 t=96434
biao da 	表達	c=1 d=1 t=30764
biao da shi 	表達式	c=4 d=1.93239 t=97650
biao dai 	錶帶	c=1 d=1 t=48507
biao dan 	表單	c=29 d=1 t=147207
biao ge 	表格	c=5 d=1 t=138680
biao ji 	標記	c=29 d=1 t=120483
biao jie gou 	表結構	c=1 d=1 t=56009
biao mian 	表面	c=1 d=1 t=131375
biao ming 	表明	c=1 d=1 t=52389
biao qian 	標籤	c=57 d=1.93292 t=141470
biao qiao 	表巧	c=1 d=1 t=135621
biao qing 	表情	c=2 d=1 t=142472
biao shi 	標識	c=9 d=1.90484 t=153241
biao shi 	表示	c=1 d=1 t=95603
biao tai 	表態	c=1 d=1 t=67392
biao ti 	標題	c=43 d=1 t=156516
biao xian 	表現	c=2 d=1 t=143036
biao zhang 	表彰	c=1 d=1 t=112295
biao zhu 	標註	c=12 d=1 t=156557
biao zhun 	標準	c=6 d=1 t=140649
bie 	別	c=62 d=1 t=154673
bie ji 	別急	c=1 d=1 t=63080
bie ming 	別名	c=3 d=1 t=142469
bie ren 	別人	c=14 d=1 t=150356
bing 	並	c=41 d=1.00458 t=153036
bing 	病	c=1 d=1 t=82303
bing bang 	冰棒	c=1 d=1 t=48524
bing fa 	併發	c=13 d=1.71423 t=153133
bing li 	病例	c=1 d=1 t=82281
bing mei you 	並沒有	c=1 d=1 t=65241
bing qie 	並且	c=2 d=1 t=20771
bing xiang 	冰箱	c=1 d=1 t=143867
bo 	玻	c=1 d=1 t=10258
bo fang 	播放	c=6 d=1 t=150121
bo fang qi 	播放器	c=3 d=1 t=150646
bo li 	剝離	c=1 d=1 t=28323
bo li 	玻璃	c=3 d=1 t=77896
bo shi 	博士	c=4 d=1 t=150413
bo xi ya 	波西亞	c=1 d=1 t=120300
bu 	不	c=168 d=1.00735 t=151856
bu 	布	c=17 d=1 t=155131
bu 	補	c=30 d=1 t=143993
bu 	部	c=11 d=1 t=149401
bu an quan 	不安全	c=1 d=1 t=107134
bu bao 	不報	c=2 d=0.1 t=122910
bu bao cuo 	不報錯	c=1 d=1 t=101641
bu bao han 	不包含	c=1 d=1 t=30906
bu bao kuo 	不包括	c=1 d=1 t=18043
bu bao liu 	不保留	c=1 d=1 t=73531
bu bi 	不必	c=1 d=1 t=25960
bu bi tian 	不必填	c=1 d=1 t=19886
bu bian 	不變	c=22 d=1 t=152148
bu bian ji 	不編輯	c=1 d=1 t=140369
bu cheng gong 	不成功	c=1 d=1 t=120488
bu chong 	補充	c=7 d=1 t=142130
bu chong fu 	不重複	c=4 d=1 t=94990
bu chou chi 	不愁喫	c=1 d=1 t=113706
bu chu 	不出	c=18 d=1 t=149261
bu chu lai 	不出來	c=13 d=1 t=146260
bu chu xian 	不出現	c=1 d=1 t=41542
bu chuan 	不傳	c=15 d=1.00171 t=115577
bu cun zai 	不存在	c=64 d=1.00486 t=155373
bu da 	不大	c=6 d=1 t=153699
bu dai 	不帶	c=4 d=1 t=129434
bu dao 	不到	c=62 d=1.00684 t=156410
bu de 	不得	c=2 d=1 t=52256
bu diao 	不掉	c=1 d=1 t=148494
bu ding 	不定	c=1 d=1 t=39366
bu ding shi 	不定時	c=1 d=1 t=156007
bu dong 	不動	c=9 d=1 t=143576
bu dou shi 	不都是	c=1 d=1 t=146473
bu dui 	不對	c=231 d=1.0185 t=154260
bu duo 	不多	c=8 d=1 t=106265
bu en 	不恩	c=1 d=1 t=110538
bu fang bian 	不方便	c=3 d=1 t=153066
bu fang wen 	不訪問	c=1 d=1 t=90157
bu fen 	不分	c=7 d=1 t=144180
bu fen 	部分	c=52 d=1 t=154469
bu fen li 	不分離	c=1 d=1 t=48715
bu fu 	不符	c=2 d=1 t=108537
bu fu he 	不符合	c=4 d=1 t=155691
bu fu yong 	不復用	c=1 d=1 t=83845
bu gai 	不改	c=13 d=1 t=153893
bu gan jing 	不乾淨	c=1 d=1 t=144598
bu gao 	不搞	c=1 d=1 t=123087
bu geng xin 	不更新	c=2 d=0.1 t=122127
bu gong kai 	不公開	c=1 d=1 t=91255
bu gong zuo 	不工作	c=1 d=1 t=120129
bu gou 	不夠	c=11 d=1.00003 t=149737
bu guan 	不管	c=28 d=1.00368 t=155827
bu guan li 	不管理	c=1 d=1 t=14216
bu gui fan 	不規範	c=2 d=1.96561 t=91499
bu guo 	不過	c=18 d=1 t=130426
bu guo lv 	不過濾	c=1 d=1 t=23455
bu hao 	不好	c=15 d=1 t=153658
bu hao yi si 	不好意思	c=1 d=1 t=10885
bu he bing 	不合併	c=1 d=1 t=2294
bu he li 	不合理	c=2 d=1 t=131755
bu hu lve 	不忽略	c=2 d=1 t=37424
bu hui 	不會	c=71 d=1.23839 t=155778
bu hui ba 	不會吧	c=1 d=1 t=156246
bu huo 	捕獲	c=1 d=1 t=81634
bu huo yue 	不活躍	c=1 d=1 t=143214
bu ji 	不及	c=3 d=1 t=63436
bu ji 	不急	c=13 d=1.04077 t=149169
bu ji de 	不記得	c=26 d=1.24171 t=156548
bu ji de le 	不記得了	c=2 d=1 t=117986
bu jian 	不見	c=5 d=1 t=145561
bu jian yi 	不建議	c=1 d=1 t=44950
bu jiao 	不叫	c=1 d=0.1 t=131413
bu jie 	不解	c=1 d=1 t=22887
bu jin 	不僅	c=1 d=1 t=122045
bu jing chang 	不經常	c=1 d=1 t=146356
bu jing zhun 	不精準	c=1 d=1 t=94927
bu jiu 	不就	c=13 d=1 t=149932
bu jiu shi 	不就是	c=1 d=1 t=117818
bu ju 	佈局	c=2 d=1 t=69142
bu ka 	不卡	c=1 d=1 t=62116
bu kai fa 	不開發	c=1 d=1 t=127311
bu kan 	不看	c=1 d=1 t=15829
bu kao bei 	不拷貝	c=1 d=1 t=25057
bu kao pu 	不靠譜	c=1 d=1 t=149581
bu ke 	不可	c=3 d=1 t=111167
bu ke 	補課	c=2 d=1.98511 t=139039
bu ke neng 	不可能	c=11 d=1 t=140398
bu ke yi 	不可以	c=1 d=1 t=82214
bu ke yong 	不可用	c=4 d=1 t=127577
bu kuai 	不快	c=2 d=1 t=147839
bu kuo chong 	不擴充	c=1 d=1 t=147642
bu lai 	不來	c=3 d=1 t=138848
bu le 	不了	c=1 d=1 t=36415
bu liao 	不了	c=109 d=1.06051 t=151760
bu liao jie 	不瞭解	c=1 d=1 t=57114
bu ma fan 	不麻煩	c=1 d=1 t=130717
bu men 	部門	c=106 d=1 t=154468
bu ming 	不明	c=1 d=1 t=100719
bu ming que 	不明確	c=2 d=1 t=68805
bu neng 	不能	c=234 d=2.41277 t=156060
bu neng gou 	不能夠	c=0 d=0.1 t=6268
bu pi pei 	不匹配	c=3 d=1 t=129463
bu pin jie 	不拼接	c=1 d=1 t=33255
bu qing 	不清	c=2 d=1 t=99668
bu qing chu 	不清楚	c=101 d=1.00029 t=150531
bu qing chu le 	不清楚了	c=4 d=1 t=148436
bu qu 	不去	c=7 d=1 t=153936
bu qu fen 	不區分	c=1 d=1 t=30367
bu quan 	補全	c=12 d=1 t=151025
bu que ding 	不確定	c=3 d=1 t=108873
bu ran 	不然	c=54 d=1.0011 t=155491
bu ren 	不忍	c=1 d=1 t=97054
bu ren shi 	不認識	c=1 d=1 t=22355
bu ru 	不如	c=2 d=1 t=120418
bu shang 	不上	c=29 d=1.00105 t=148855
bu shang qu 	不上去	c=2 d=1 t=120340
bu shao 	不少	c=1 d=1 t=112026
bu shao ren 	不少人	c=1 d=1 t=30047
bu she zhi 	不設置	c=2 d=1 t=73037
bu sheng xiao 	不生效	c=13 d=1 t=147567
bu shi 	不實	c=1 d=1 t=41766
bu shi 	不是	c=566 d=2.04602 t=156447
bu shi yong 	不使用	c=1 d=1 t=105793
bu shou 	不受	c=2 d=1 t=131348
bu shu 	部署	c=155 d=3.7728 t=154780
bu shu fu 	不舒服	c=1 d=1 t=86887
bu shuo 	不說	c=1 d=1 t=67333
bu tai 	不太	c=49 d=1 t=153691
bu ti gong 	不提供	c=1 d=1 t=142650
bu tiao 	不跳	c=1 d=1 t=26536
bu tiao zhuan 	不跳轉	c=1 d=1 t=54594
bu tong 	不同	c=44 d=1 t=151761
bu tong 	不通	c=1 d=1 t=51553
bu tong bu 	不同步	c=1 d=1 t=120617
bu tong guo 	不通過	c=14 d=2.04001 t=145323
bu tong yi 	不統一	c=1 d=1 t=2680
bu tui chu 	不退出	c=1 d=1 t=64056
bu wan 	不完	c=3 d=1 t=110214
bu wan zheng 	不完整	c=4 d=1 t=133807
bu wei 	不爲	c=3 d=1 t=123585
bu wei 	部委	c=1 d=1 t=50308
bu wei hu 	不維護	c=2 d=1 t=102581
bu wen ding 	不穩定	c=4 d=1.93707 t=154999
bu xia 	不下	c=1 d=1 t=96263
bu xian 	不限	c=1 d=1 t=155446
bu xian shi 	不顯示	c=14 d=1 t=146977
bu xiang 	不像	c=4 d=1 t=155310
bu xiang 	不想	c=3 d=1 t=109629
bu xiang guan 	不相關	c=1 d=1 t=139600
bu xiang ying 	不響應	c=5 d=1.00154 t=88646
bu xiao 	不小	c=1 d=1 t=76537
bu xing 	不行	c=147 d=1.00032 t=154656
bu xiong 	不熊	c=1 d=1 t=112311
bu xu yao 	不需要	c=64 d=1 t=155632
bu yao 	不要	c=59 d=2.0598 t=153769
bu ye 	不也	c=1 d=1 t=22862
bu yi ding 	不一定	c=16 d=1 t=149384
bu yi yang 	不一樣	c=51 d=1 t=154279
bu yi zhi 	不一致	c=30 d=1 t=155982
bu ying gai 	不應該	c=8 d=1.00161 t=155711
bu ying xiang 	不影響	c=18 d=1 t=153581
bu ying zhi 	捕蠅紙	c=1 d=1 t=104013
bu yong 	不用	c=250 d=2.50345 t=156369
bu you hao 	不友好	c=1 d=1 t=45085
bu you shan 	不友善	c=1 d=1 t=41772
bu yun xu 	不允許	c=7 d=1 t=153675
bu zai 	不再	c=6 d=1.53794 t=103886
bu zai 	不在	c=29 d=1 t=153602
bu zheng chang 	不正常	c=1 d=1 t=138641
bu zheng que 	不正確	c=1 d=1 t=71564
bu zhi 	不止	c=3 d=1 t=73961
bu zhi 	不知	c=2 d=1 t=95324
bu zhi chi 	不支持	c=25 d=1 t=153662
bu zhi dao 	不知道	c=98 d=1.55767 t=156646
bu zhi dao le 	不知道了	c=2 d=1 t=84825
bu zhi ding 	不指定	c=3 d=1 t=131071
bu zhi yu 	不至於	c=1 d=1 t=155073
bu zhuan ma 	不轉碼	c=1 d=1 t=72419
bu zhun 	不準	c=2 d=1.99005 t=130874
bu zhun que 	不準確	c=1 d=1 t=89257
bu zou 	不走	c=3 d=1 t=99631
bu zu 	不足	c=5 d=1 t=116154
bu zuo 	不做	c=8 d=1.00241 t=145156
bug 	Bug	c=3 d=1 t=138813
cai 	才	c=41 d=1 t=136509
cai 	猜	c=1 d=1 t=112663
cai 	菜	c=2 d=1 t=134314
cai 	蔡	c=13 d=1.98511 t=147920
cai 	裁	c=1 d=1 t=45178
cai ce chu 	猜測出	c=0 d=0.1 t=110680
cai ce chu shi 	猜測出是	c=1 d=1 t=110681
cai dan 	菜單	c=235 d=1.98768 t=155888
cai fu 	財富	c=1 d=0.1 t=147959
cai fu dao 	財富島	c=1 d=1 t=147960
cai hong 	彩虹	c=1 d=1 t=114568
cai hui 	纔會	c=8 d=1 t=96394
cai neng 	才能	c=24 d=1 t=154721
cai shi 	纔是	c=5 d=1 t=156323
cai xing 	才行	c=2 d=1 t=31275
cai you 	纔有	c=2 d=1 t=103727
cai yun 	彩雲	c=3 d=1 t=78518
can 	參	c=18 d=1 t=144259
can kao 	參考	c=21 d=1 t=140756
can kao zhi 	參考值	c=2 d=1.86502 t=81421
can nve 	殘虐	c=0 d=0.1 t=105724
can shu 	參數	c=233 d=1.00565 t=156358
can shu ming 	參數名	c=5 d=1 t=137979
can yin 	餐飲	c=2 d=1.99005 t=89979
can yu 	參與	c=9 d=1 t=111985
cang 	藏	c=1 d=1 t=148266
cang ku 	倉庫	c=1 d=1 t=96566
cao 	草	c=3 d=1 t=148813
cao gao 	草稿	c=14 d=1 t=82860
cao liao 	草料	c=2 d=1.00109 t=39732
cao zuo 	操作	c=97 d=1.05606 t=155239
cao zuo yuan 	操作員	c=2 d=1 t=55260
ce 	側	c=1 d=1 t=128213
ce 	冊	c=10 d=1.77494 t=96290
ce 	測	c=135 d=0.100001 t=156022
ce ce shi 	測測試	c=13 d=1.99501 t=145958
ce da gong 	測大功	c=1 d=1 t=156023
ce lve 	策略	c=3 d=1 t=147815
ce shi 	測試	c=1084 d=1.68559 t=156602
ce shi hou 	測試後	c=2 d=1 t=130590
ce shi huan jing 	測試環境	c=2 d=1 t=65868
ce shi ping tai 	測試平臺	c=2 d=1.00003 t=2581
ce shi shi 	測試是	c=1 d=1 t=19860
ce su 	測速	c=1 d=1 t=6716
cen gong 	岑鞏	c=0 d=0.1 t=122461
ceng 	層	c=7 d=0.100271 t=112345
ceng ji 	層級	c=6 d=1 t=151779
ceng mian 	層面	c=2 d=1 t=91014
centos 	CentOS	c=1 d=1 t=115822
cha 	叉	c=1 d=1 t=156134
cha 	差	c=17 d=1.00063 t=156073
cha 	插	c=1 d=1 t=90033
cha 	查	c=206 d=1 t=155575
cha biao 	查表	c=1 d=1 t=17410
cha bie 	差別	c=1 d=1 t=55710
cha bu dao 	查不到	c=1 d=1 t=96334
cha bu duo 	差不多	c=9 d=1 t=151400
cha cao 	插槽	c=2 d=1 t=118659
cha cha 	查查	c=2 d=1 t=118122
cha chu 	查處	c=1 d=1 t=32560
cha dao 	查到	c=2 d=1 t=101148
cha dian 	差點	c=4 d=1 t=100616
cha jian 	插件	c=21 d=1 t=146130
cha kan 	查看	c=29 d=1.07136 t=147898
cha ru 	插入	c=15 d=1.00048 t=122393
cha xun 	查詢	c=221 d=1.00126 t=152033
cha yi 	差異	c=13 d=3.52431 t=154741
cha yi bao 	差異包	c=22 d=3.96157 t=154748
cha zhao 	查找	c=1 d=1 t=11808
chai 	拆	c=5 d=1 t=112576
chan 	產	c=38 d=1.00003 t=17016
chan pin 	產品	c=56 d=1 t=153280
chan sheng 	產生	c=3 d=1 t=86545
chan ye 	產業	c=3 d=1 t=54120
chan ye yuan 	產業園	c=1 d=1 t=86503
chang 	場	c=2 d=1 t=132215
chang 	常	c=24 d=1.0002 t=151158
chang 	長	c=12 d=1 t=156080
chang cheng 	長城	c=1 d=1 t=120373
chang du 	長度	c=9 d=1.92312 t=109143
chang shi 	嘗試	c=3 d=1 t=79836
chang yong 	常用	c=4 d=1 t=47467
chang zheng 	長征	c=1 d=1 t=36541
chang zhu 	常駐	c=1 d=1 t=26308
chao 	超	c=17 d=1 t=155456
chao chu 	超出	c=1 d=1 t=44747
chao guo 	超過	c=5 d=1 t=99688
chao ji 	超級	c=5 d=1.99501 t=132876
chao ji 	超集	c=1 d=1 t=143624
chao shi 	超時	c=21 d=1.00009 t=152065
chao xian 	超限	c=3 d=1 t=151571
chao zhong 	超重	c=1 d=1 t=138545
che 	撤	c=1 d=1 t=119822
che 	車	c=7 d=1 t=100295
che pai 	車牌	c=2 d=1.99005 t=86283
che xiao 	撤銷	c=3 d=1 t=116063
che zi 	車子	c=1 d=1 t=114572
chen 	晨	c=3 d=1 t=62631
chen 	沉	c=1 d=1 t=14340
chen 	陳	c=271 d=1.00005 t=156421
chen cai dan 	陳菜單	c=2 d=1 t=130230
chen chu shi hua 	陳初始化	c=1 d=1 t=110412
cheng 	城	c=1 d=1 t=140841
cheng 	成	c=50 d=1.0009 t=145412
cheng 	程	c=1 d=1 t=36363
cheng ben 	成本	c=1 d=1 t=99620
cheng du 	成都	c=1 d=1 t=40842
cheng fa 	乘法	c=1 d=1 t=155881
cheng gong 	成功	c=48 d=1.00133 t=154879
cheng ji 	成績	c=3 d=1 t=124632
cheng shi 	城市	c=8 d=1 t=65836
cheng xin du 	誠信度	c=2 d=1 t=121789
cheng xu 	程序	c=39 d=1.5886 t=154761
cheng xu bao 	程序包	c=1 d=1 t=53883
cheng xu ku 	程序庫	c=1 d=1 t=108151
cheng xu yuan 	程序員	c=1 d=1 t=22421
cheng yuan 	成員	c=24 d=1.00002 t=118736
cheng zhen 	城鎮	c=4 d=3.8408 t=1070
chi 	喫	c=18 d=1 t=138745
chi 	池	c=2 d=1 t=93551
chi 	遲	c=4 d=1.41271 t=93729
chi chi chi chi chi chi chi 	叱吒叱吒叱吒吒	c=0 d=0.1 t=83425
chi cun 	尺寸	c=5 d=1 t=119442
chi fan 	喫飯	c=7 d=1 t=153964
chi ge 	喫個	c=11 d=1 t=120676
chi gu 	持股	c=2 d=1.90032 t=77916
chi hao 	喫好	c=1 d=1 t=60531
chi jiu hua 	持久化	c=3 d=1 t=97854
chi kao 	赤尻	c=1 d=1 t=34984
chi xu 	持續	c=2 d=1 t=92810
chong 	充	c=2 d=1.9802 t=52883
chong 	重	c=55 d=1 t=155251
chong ding xiang 	重定向	c=9 d=1 t=145879
chong fu 	重複	c=97 d=1.86107 t=153227
chong fu qian dao 	重複簽到	c=1 d=1 t=64942
chong gou 	重構	c=1 d=1 t=148516
chong he 	重合	c=2 d=1.96561 t=95638
chong jian 	重建	c=9 d=1 t=156374
chong lai 	重來	c=1 d=1 t=122228
chong ming 	重名	c=3 d=1.9802 t=133765
chong ming ming 	重命名	c=8 d=1 t=146147
chong qi 	重啓	c=109 d=1.02901 t=155011
chong qi ming ming 	重啓命名	c=1 d=1 t=123627
chong qing 	重慶	c=1 d=1 t=31931
chong qing shi 	重慶市	c=1 d=1 t=1059
chong shi 	重試	c=8 d=1 t=126503
chong tu 	衝突	c=21 d=1 t=145100
chong xian 	重現	c=1 d=1 t=78951
chong xie 	重寫	c=4 d=1.92774 t=148503
chong xin 	重新	c=214 d=1.12499 t=156618
chong xue 	重學	c=1 d=1 t=10275
chong zhi 	充值	c=2 d=1 t=100418
chong zhi 	重置	c=27 d=1.16036 t=156697
chong zuo 	重做	c=1 d=1 t=10601
chou 	丑	c=1 d=1 t=60939
chou 	抽	c=2 d=1 t=149430
chou 	臭	c=1 d=1 t=96398
chou qu 	抽取	c=1 d=1 t=7851
chu 	出	c=86 d=1 t=155723
chu 	初	c=2 d=1 t=48841
chu 	處	c=3 d=1 t=143717
chu 	除	c=13 d=1.47711 t=148482
chu ban 	初版	c=1 d=1 t=143528
chu bu 	初步	c=1 d=1 t=94499
chu bu lai 	出不來	c=12 d=1 t=149870
